Occupency,Date,Time
06/17/21,20:57:37,3%
06/17/21,21:12:45,0%
06/17/21,21:27:53,0%
06/17/21,21:43:01,0%
06/18/21,08:35:39,15%
06/18/21,08:50:48,15%
06/18/21,09:05:55,15%
06/18/21,09:21:03,16%
06/18/21,09:36:11,16%
06/18/21,09:51:18,16%
06/18/21,10:06:26,17%
06/18/21,10:21:33,15%
06/18/21,10:36:41,16%
06/18/21,10:51:49,20%
06/18/21,11:06:56,22%
06/18/21,11:22:05,23%
06/18/21,11:37:13,26%
06/18/21,11:52:20,30%
06/18/21,12:07:28,29%
06/18/21,12:22:35,31%
06/18/21,12:37:43,32%
06/18/21,12:52:50,31%
06/18/21,13:08:00,26%
06/18/21,13:23:08,24%
06/18/21,13:38:16,20%
06/18/21,13:53:23,23%
06/18/21,14:08:31,22%
06/18/21,14:23:38,23%
06/18/21,14:38:46,24%
06/18/21,14:53:54,22%
06/18/21,15:09:01,24%
06/18/21,15:24:09,25%
06/18/21,15:39:16,27%
06/18/21,15:54:25,30%
06/18/21,16:09:33,33%
06/18/21,16:24:40,35%
06/18/21,16:39:48,40%
06/18/21,16:54:55,43%
06/18/21,17:10:03,49%
06/18/21,17:25:11,51%
06/18/21,17:40:21,56%
06/18/21,17:55:28,56%
06/18/21,18:10:35,54%
06/18/21,18:25:43,52%
06/18/21,18:40:51,49%
06/18/21,18:56:12,48%
06/18/21,19:11:40,41%
06/18/21,19:26:52,37%
06/18/21,19:41:59,30%
06/18/21,19:57:06,15%
06/18/21,20:12:12,14%
